"_IDSKU (Não alterável)","_NomeSKU","_EANSKU","_CodigoReferenciaSKU","_IDProduto (Não alterável)","_NomeProduto (Obrigatório)","_ProdutoAtivo (Não alterável)","_CodigoReferenciaProduto","_LinkTexto (Não alterável)","_TituloSite","_IDFornecedor","_IDDepartamento (Não alterável)","_NomeDepartamento","_IDCategoria","_NomeCategoria","_IDMarca","_Lojas"
"10420","55/06 Castanho Claro Intenso Natural Violeta","7891182019132","","1389700285","Coloração Wella Professionals Color Touch Plus 55/06 Castanho Claro Intenso Natural Violeta 60 ml","SIM","","coloracao-wella-professionals-color-touch-plus-55-06-castanho-claro-intenso-natural-violeta-60-ml","Coloração Wella Professionals Color Touch Plus 55/06 Castanho Claro Intenso Natural Violeta 60 ml","","1","Cabelos","9","Coloracao","3",""
"10421","400 g","7891182019774","","1389700286","Pó Descolorante Wella Professionals Blondor Multi Blonde 400 g","SIM","","po-descolorante-wella-professionals-blondor-multi-blonde-400-g","Pó Descolorante Wella Professionals Blondor Multi Blonde 400 g","","1","Cabelos","9","Coloracao","3",""
"10422","1000 ml","7891182019873","","1389700287","Emulsão Oxidante Wella Professionals Color Touch Plus 1000 ml","SIM","","emulsao-oxidante-wella-professionals-color-touch-plus-1000-ml","Emulsão Oxidante Wella Professionals Color Touch Plus 1000 ml","","1","Cabelos","9","Coloracao","3",""
"10423","Pink","8005610603360","","1389700288","Coloração Wella Professionals Color Fresh Create Nudist Pink 60 ml","SIM","","coloracao-wella-professionals-color-fresh-create-nudist-pink-60-ml","Coloração Wella Professionals Color Fresh Create Nudist Pink 60 ml","","1","Cabelos","9","Coloracao","3",""
"10424","Magenta","8005610603391","","1389700289","Coloração Wella Professionals Color Fresh Create High Magenta 60 ml","SIM","","coloracao-wella-professionals-color-fresh-create-high-magenta-60-ml","Coloração Wella Professionals Color Fresh Create High Magenta 60 ml","","1","Cabelos","9","Coloracao","3",""
"10425","New Blue","8005610603247","","1389700290","Coloração Wella Professionals Color Fresh Create New Blue 60 ml","SIM","","coloracao-wella-professionals-color-fresh-create-new-blue-60-ml","Coloração Wella Professionals Color Fresh Create New Blue 60 ml","","1","Cabelos","9","Coloracao","3",""
"10426","Tomorrow Clear","8005610603216","","1389700291","Coloração Wella Professionals Color Fresh Create Tomorrow Clear 60 ml","SIM","","coloracao-wella-professionals-color-fresh-create-tomorrow-clear-60-ml","Coloração Wella Professionals Color Fresh Create Tomorrow Clear 60 ml","","1","Cabelos","9","Coloracao","3",""
"10427","Super Petrol","8005610603575","","1389700292","Coloração Wella Professionals Color Fresh Create Super Petrol 60 ml","SIM","","coloracao-wella-professionals-color-fresh-create-super-petrol-60-ml","Coloração Wella Professionals Color Fresh Create Super Petrol 60 ml","","1","Cabelos","9","Coloracao","3",""
"10428","800 g","4064666040257","","1389700293","Pó Descolorante Wella Professionals Blondor Freelight Powder 800 g","SIM","","po-descolorante-wella-professionals-blondor-freelight-powder-800-g","Pó Descolorante Wella Professionals Blondor Freelight Powder 800 g","","1","Cabelos","9","Coloracao","3",""
"10429","500 ml","8005610586687","","1389700294","Tratamento Wella Professionals Blondor Seal and Care 500 ml","SIM","","tratamento-wella-professionals-blondor-seal-and-care-500-ml","Tratamento Wella Professionals Blondor Seal and Care 500 ml","","1","Cabelos","9","Coloracao","3",""
"10430","Kit Korres Corporal Óleo de Oliva e Flor - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml","10430","","1389701436","Kit Korres Corporal Óleo de Oliva e Flor - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml","SIM","","kit-korres-corporal-oleo-de-oliva-e-flor-sabonete-250-ml-locao-deo-hidratante-350-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10431","Kit Korres Óleo de Oliva e Flor - Creme para as Mãos 75 g + Loção Deo-Hidratante Corporal 350 ml","10431","","1389701437","Kit Korres Óleo de Oliva e Flor - Creme para as Mãos 75 g + Loção Deo-Hidratante Corporal 350 ml","SIM","","kit-korres-oleo-de-oliva-e-flor-creme-para-as-maos-75-g-locao-deo-hidratante-corporal-350-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10432","Kit Korres Corporal Óleo de Oliva e Flor - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml + Óleo 3 em 1 100 ml","10432","","1389701438","Kit Korres Corporal Óleo de Oliva e Flor - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml + Óleo 3 em 1 100 ml","NÃO","","kit-korres-corporal-oleo-de-oliva-e-flor-sabonete-250-ml-locao-deo-hidratante-350-ml-oleo-3-em-1-100-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10433","Kit Korres Corporal Óleo de Oliva e Bergamota - Sabonete 250 ml + Creme Hidratante 200 ml","10433","","1389701439","Kit Korres Corporal Óleo de Oliva e Bergamota - Sabonete 250 ml + Creme Hidratante 200 ml","SIM","","kit-korres-corporal-oleo-de-oliva-e-bergamota-sabonete-250-ml-creme-hidratante-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10434","Kit Korres Óleo de Oliva e Bergamota - Creme Hidratante Corporal 200 ml + Creme para as Mãos 75 g","10434","","1389701440","Kit Korres Óleo de Oliva e Bergamota - Creme Hidratante Corporal 200 ml + Creme para as Mãos 75 g","SIM","","kit-korres-oleo-de-oliva-e-bergamota-creme-hidratante-corporal-200-ml-creme-para-as-maos-75-g","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10435","Kit Korres Corporal Algodão - Sabonete 250 ml + Creme Hidratante 200 ml","10435","","1389701441","Kit Korres Corporal Algodão - Sabonete 250 ml + Creme Hidratante 200 ml","NÃO","","kit-korres-corporal-algodao-sabonete-250-ml-creme-hidratante-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10436","Kit Korres Corporal Algodão  - Sabonete 250 ml + Óleo de Banho 200 ml","10436","","1389701442","Kit Korres Corporal Algodão  - Sabonete 250 ml + Óleo de Banho 200 ml","NÃO","","kit-korres-corporal-algodao-sabonete-250-ml-oleo-de-banho-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10437","Kit Korres  Corporal Algodão - Sabonete 250 ml  + Creme Hidratante 200 ml  + Óleo de Banho 200 ml","10437","","1389701443","Kit Korres  Corporal Algodão - Sabonete 250 ml  + Creme Hidratante 200 ml  + Óleo de Banho 200 ml","NÃO","","kit-korres-corporal-algodao-sabonete-250-ml-creme-hidratante-200-ml-oleo-de-banho-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10438","Kit Korres Corporal Pepino e Bambu - Sabonete Pepino e Bambu 250 ml + Creme Hidratante 200 ml","10438","","1389701444","Kit Korres Corporal Pepino e Bambu - Sabonete Pepino e Bambu 250 ml + Creme Hidratante 200 ml","NÃO","","kit-korres-corporal-pepino-e-bambu-sabonete-pepino-e-bambu-250-ml-creme-hidratante-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10439","Kit KorresCorporal Gengibre e Limão - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml","10439","","1389701445","Kit KorresCorporal Gengibre e Limão - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml","SIM","","kit-korrescorporal-gengibre-e-limao-sabonete-250-ml-locao-deo-hidratante-350-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10440","Kit Korres Corporal Jasmim - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml","10440","","1389701446","Kit Korres Corporal Jasmim - Sabonete 250 ml  + Loção Deo-Hidratante 350 ml","NÃO","","kit-korres-corporal-jasmim-sabonete-250-ml-locao-deo-hidratante-350-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10441","Kit Korres Corporal Lavanda Marinha - Loção Deo-Hidratante 350 ml  + Óleo de Banho 200 ml","10441","","1389701447","Kit Korres Corporal Lavanda Marinha - Loção Deo-Hidratante 350 ml  + Óleo de Banho 200 ml","NÃO","","kit-korres-corporal-lavanda-marinha-locao-deo-hidratante-350-ml-oleo-de-banho-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
"10442","Kit Korres  Corporal Pimenta Rosa - Creme Hidratante  200 ml + Óleo de Banho 200 ml","10442","","1389701448","Kit Korres  Corporal Pimenta Rosa - Creme Hidratante  200 ml + Óleo de Banho 200 ml","NÃO","","kit-korres-corporal-pimenta-rosa-creme-hidratante-200-ml-oleo-de-banho-200-ml","","","145","Corpo e Banho","146","Kits de Cuidados para o Corpo","2000111",""
